"threat","sentiment_score"
" ""I will shoot up the school"" on Jan. 10",-0.5
" ""infiltrate the school from all entrances"" and ""start little by little killing people"" Making at least a few escapes without getting caught  We should probably steal the teachers vehicles  and have good armor so we wont die. The cameras got shot and stole the memory card, but we still have to plan to see where stuff is.",-2.95
" ""Nicolas (sic) Cruz you coulda done better. Stand back & watch what a real WHITE man can do! #NextCruz""",1.45
" ""shoot up,"" ""bother hiding,"" ""won't be making it to Thanksgiving break,""",-0.7
" dont go to school tomorrow. Its going to be a shooting and riot, Tell everybody you can. Please dont go.",-0.1
" shoot up Cheney Middle School",-0.5
" (expletive) all this yall getting shot up. Im tired of all this (expletive). Im warning yall asses now. Explorer, mariner, voyager. Yall are first,",-2.05
" blow up or shoot up",-0.9
" Hello, this is Glades Middle School and Im sending a text because your child will be suspended starting tomorrow for taking videos in your first period chorus class there are no videos or pictures allowed to be taken in school. Thanks, Glades Middle School. The text message was followed by two additional messages reading Its a prank and But Im shooting that school in first period. Im going to shoot the school tomorrow during first period @10 a.m.",-0.15
" Hello, this is Glades Middle School and Im sending a text because your child will be suspended starting tomorrow for taking videos in your first period chorus class there are no videos or pictures allowed to be taken in school. Thanks, Glades Middle School. The text message was followed by two additional messages reading Its a prank and But Im shooting that school in first period. Im going to shoot the school tomorrow during first period @10 a.m.",-0.15
" i am shooting up eagle crest highschool tomorrow I am sick and tired of the bulling (sic) and hate everyone do not come to school tomorrow me and my friends will be there waiting for you.",-2.85
" Let me go before I shoot this place up.",-0.5
" No mask mandates. My child, my children will not come to school on Monday with a mask on. Alright? Thats not happening. And I will bring every single gun loaded and ready.",0.9
" shoot up the school",-0.5
"""... f***** alert the last 3 days of the week coming back. Anyone on sight it's f*****up idc. Got a list who finna get killed the first is this skinny (?) who's a h** and shouldn't be...Final warning before after next week.",-1.25
"""... Im going to shoot up the school""",-0.5
"""CHS School Shooting 10-19-18 Be Ready.",0.2
"""specifically killing [certain]people and hopes of get[ting]a medal from the president for doing it. One entry, written June 2017, ends with the chilling phrase: I promise.""",1.25
"""Yo bruh bouta run it up at central,""",0
"""12/13/21""",0
"""12-1-21""",0
"""a shooting to occur at Gunn sometime on Friday""",-0.6
"""a threatening activity would happen at lunch""",-1
"""armed attack on a Boston school"" ",-0.75
"""be ready akers""",0.8
"""Be ready for November 14th.""",0.8
"""Be ready"" ""I will bring a weapon to St Brendan High September 12.""",0.8
"""bellport mass shooting tmr? shhh (emoji)",-0.6
"""Bhs is getting shot up tm""",-0.4
"""blow up"" and ""shoot up"" ",-0.9
"""Can't wait to see what happens today at school.... Here's a hint""",-0.25
"""caption that indicated that a shooting would take place on Thursday (today)""",-0.6
"""CHS better watch out""",0.8
"""columbing school shooters on the way""",0
"""Date of shooting, December 13th""",-0.6
"""Dear 8chan on Monday there will be a school shooting I'm planning stop me if you can""",-0.25
"""do harm"" ",-0.75
"""Dont come to school on Monday""",0
"""don't come to school today""",0
"""Don't come to school tomorrow if you (want to) live"" ",0
"""don't come to school tomorrow!!!""",0
"""don't come to school tomorrow""",0
"""Don't come to school tomorrow. I'm shooting up the school.""",-0.6
"""Don't come to school tomorrow...THIS IS A JOKE. DO NOT REPORT (It's not a joke).""",0.6
"""Don't go to Millikan tomorrow""",0
"""Don't go to school tomorrow""",0
"""Don't go to school tomorrow""",0
"""don't go to school tomorrow""",0
"""Don't go to school tomorrow"".",0
"""Don't go to school tomorrow.""",0
"""Don't go to school Wednesday""",0
"""Don't pu Tomorrow""",0
"""Everyone talks (expletive) and I will fight everyone and I'll shoot up the school""",-1.4
"""F### Manor""",0
"""FB jailer forgot to lock my cage this morning. I decided to start the day by killing school children. Our governer beat me to it.""",-1.35
"""felt cute might shoot up a school later""",0.25
"""fill him full of bullets."" ""I'm going to shoot this b**** up on hood.""",-0.75
"""get ready for water day""",0.8
"""go to school packing heat and just open fire on all my enemies, mostly the school teachers and front office administration""",-0.75
"""going out with a bang don't go to school tmr.""",0
"""going to shoot up the school tomorrow""",-0.5
"""Going to shoot your kid in the 2020 Columbine remake.""",-0.5
"""Gonna shoot up South"" ""I need to go shoot up the school""",-0.5
"""Good morning family, I work with a sheriffs wife and she just told us that three large gangs are planning a big shoot-up in Florence district one schools today, one parent known as Aunt Becky wrote in a group text message. Please proceed with caution. This (information) was from (an) FBI informant. Keep the babies home today is what they recommend,",3.4
"""he was going to shoot up the school in 15 minutes"" ""Bang Bang""",-0.5
"""he would shoot up the school if someone 'liked' his post""",-0.5
"""Hey I've seen you know people at JK And idk if you know this already but there's word that some people were threatening to shoot up the school so (emoji) js Let your friends know. Better safe than sorry""",-0.45
"""Hey Siri, directions to the nearest school""",0
"""HHS school shooting tomorrow""",-0.6
"""hi. it's me. ima shoot up the school.""",-0.5
"""homicidal thoughts""",-1
"""hope your bookbags are bulletproof""",1
"""hundreds of rounds of ammunition,"" ""I'm going to shoot up my school,"" the message reads. ""I'll play some music before I get to the school then blast dancin military style and abba...I hope to take atleast [sic] 15-30 people with me.""",0.2
"""hunt her down,"" ""mass murderer,""",-1
"""I am going to kill everyone at Miami Senior High School, Do not go to school if you want, if you don't want to die on Dec. 6, everyone is going to see the anger inside of me,""",-2.25
"""I am going to shoot the school, like in Texas; be ready,""",0.8
"""I am going to shoot you""",-0.5
"""I am pulling a School Shooting at 1:00 today""",-0.6
"""I Dalton Barnhart vow to bring fathers m15 to school and kill 7 people at minimum.""",-0.15
"""I gonna shot [classmate] and his friends, I am tired of them,""",-1.15
"""I hate this school and everybody in it. Watch out you might be first. On Friday 9-27-19 I will shoot up the school,""",-1.25
"""I might be the school shooter this year"" ",0
"""i need help and yes i confess i have been thinking/ planning on shooting up the school just so i can hurt those that hurt me.""",-0.8
"""I want to run away. School shooting 9-4-19.""",-0.6
"""I was planning on shooting up your school"", only to scare them",-1.1
"""I will go back and shoot up Westmont High School. I just have to figure out how to get back in.""",-0.5
"""I will shoot up the school by getting  the Bloods to come to the school"" ""I will shoot you""",-0.5
"""I will shoot up the school""",-0.5
"""Im going to remake Texas at CMS""",0
"""Im going to shoot up the school"" and ""#Friday.""",-0.5
"""if certain criteria are not met.""",0.8
"""If yall dont pull up the Oct 5 finna be a mass shooting""",-0.6
"""If you are reading this... don't come to school on Thursday. You won't regret it"" ",-0.65
"""If you don't do as you're told, I'm gonna shott you - and yes, I have a gun""",0.3
"""if you go to Northwest School be safe tomorrow someone is brining an AR to school",0.75
"""if you go to wsms, I feel bad for you"" with gun emojis, ""if you don't want to die, stay home on may 27th friday 2022""",-2
"""if you put your hands on me, see what happens,""",0
